document id,Review,After Lemmatization,,sentimental_analysis
review 46,Don't waste 2 hours of your life this movie is the baddest i've seen in a long time. Crappy writing and no good storyline...it was boring. I went to the pay counter to ask my money back for the 2 hours of torture...they can't do people like this. And for all the people with 10/10 (the reason why i went) you're a joke.,dont wast 2 hour life movi saddest give seen long time happi write good storylineit bore went pay counter ask money back 2 hour torturethey can peopl like peopl 1010 reason went your joke,,negative
review47,"If it wasn't for the title and make-up, you wouldn't know it was based on the comic-book character. First of all, the real Joker is not a weak and unconfident pushover. Not even in his genesis stage. The real Joker had a high tolerance for pain, could fight and was intelligent. Which made him dangerous due to his insanity. When Joaquin shoots the guy on the subway, he does it out of cowardice. They try to make up for it with the Murray shooting scene. There is no way that Joaquin's Joker will ever fill the shoes of the badass Joker in the comics, not even the different incarnations by different comic authors....and just forget about even coming close to Heath Ledger's portrayal. They should have just called the movie something totally different and forget about trying to make the connection.",want titl make wouldn know base comicbook charact first real joke weak confid pushov even genesi stage real joke high toler pain could fight intellig made danger due insan joaquin shoot guy subway cowardic tri make murray shoot scene way joaquin joke ever fill shoe adam joke comic even differ inclin differ comic authorsand forget even come close heath ledger portray call movi someth total differ forget tri make connect,,positive
review 48,"I don't understand the high ratings. I went to the cinema with high expectations, only to discover that the movie was slow as anything and was almost finished before the first killing happened. It was a dreadful time having to wait for something to happen. But yes, once the movie was finished and I finally walked out, I got the cosmic joke; I was the joker, trusting the reviews and leaving disappointed in disbelief I actually paid for watching it.",dont understand high rate went cinema high expect discov movi slow anyth almost finish first kill happen dread time wait someth happen ye movi finish final walk got comic joke joke trust review leav disappoint disbeliev actual paid watch,,positive
review 49,"Seriously, unbelievable. Dare I say better than Heath Ledger? If Joaquin Phoenix doesn't win the Oscar for best actor and 'Joker' doesn't win at the VERY least, best screenplay, it will be one of the biggest Oscar snubs of our time",serious unbeliev dare say better heath ledger joaquin phoenix doesn win oscar best actor joke doesn win least best screenplay one biggest oscar snub time,,positive
review 50,"This film is about mental illness. Specifically, a mental illness called creative diarrhoea.

Seriously though, there is sooo much wrong with this movie. I won't even start with how I knew that a Joker sob story had no hope of (artistic) success, nor with why I went I went to see it anyway. I'll start by pointing out other reviewers' observation that this is not even the Joker. He's not suave, he's not witty, there are no lethal gimmicks, no morbid jokes, no anarchism, and he isn't a criminal mastermind. He's just a loser that goes off on a school shooter streak.

Secondly, this is not, as I said earlier, a film about mental illness. It is a mockery of it, cashing in on the increasing awareness about mental health. There is not one concept about psychosis or other mental health problems judiciously explored in the movie (an illness which causes the sufferer to laugh in inappropriate situations? Seriously?!). All you're getting here is a downtrodden loner being subjected to beatings and injustices designed to spark indignation in the viewer, then going off on a murder spree.

With regards to the much-praised acting, it's a mystery to me how anyone could have come to a judgement of Phoenix's theatrical achievement based off such an asinine script, because I can't. Not that you should devote an iota of attention to any of these positive reviews, because I'm fairly confident that there is some large-scale review rigging going on.

The plot is one dimensional and juvenile, the dialogue as engaging as a monotone nursery rhyme and the character development shallow. There were goofs left right and centre, like revolvers with zero recoil and 8 bullets. Why did Arthur keep dancing? Why did we need to see Arthur fondling himself? Why is he so emaciated? Why so much smoking? I watched so many close-ups of cigarettes burn out it makes me wonder if the film was sponsored by the tobacco industry.

The two positives in the movie for me were firstly, the final talk show scene, littered though it was with imperfections like the rest of the movie, which did have me sitting a little less slouched in my seat. Also, there were some interesting theories presented tying the Joker with the Batman.

With the bar set so high by The Dark Knight, no director seeking artistic acclaim will go near the Joker for many years to come, maybe ever, but on the other hand, the Joker character has been rendered a boon for Hollywood opportunists, and this is the second time we've seen the character butchered in a low effort high budget money maker. This one will be forgotten quick, but I don't know how long it will be before the Joker himself recovers.",film mental ill specif mental ill call creativ diarrhoea serious though soon much wrong movi wont even start knew joke sob stori hope artist success went went see anyway ill start point review observ even joke he suav he witti lethal gimmick morbid joke anarchist isn crimin master he lower goe school shorter streak secondli said earlier film mental ill monkey wash increas awar mental health one concept sycosi mental health problem judici explor movi ill caus suffer laugh inappropri situat serious your get downtrodden longer subject beat injustic design spark indign viewer go murder spree regard muchprais act mysteri anyon could come judgement phoenix theatric achiev base quinin script can devot iota attent posit review in fairli confid largescal review rig go plot one dimens juvenil dialogu engag monotoni nurseri rhyme charact develop shallow good left right centr like revolv zero recoil 8 bullet arthur keep danc need see arthur foundl emaci much smoke watch mani close cigarett burn make wonder film sponsor tobacco industri two posit movi firstli final talk show scene litter though imperfect like rest movi sit littl le slough seat also interest theori present tie joke batman bar set high dark knight director seek artist claim go near joke mani year come mayb ever hand joke charact render boon hollywood opportun second time were seen charact butcher low effort high budget money maker one forgotten quick dont know long joke recov,,positive
review 51,To say it was satisfying would be somewhat misleading. ,,,negative
review 52,"Joaquin Phoenix makes you feel uncomfortable almost the entire time. I couldn't help thinking about Christian Bale in The Machinist and Robert De Niro in Taxi Driver. With those comparisons, clearly I have some high praise on the acting.",joaquín phoenix convinc laugh look like beaten dog brutal enjoy 5 minut world mean bad bad hit back chao anarchi whatev inspir bye clown kill 3 gulli stupid excess brutal name ye director hanov 3 dont want parti brutal bore,,positive
review 53,"The film itself slowly builds momentum, but when it builds...it's really builds. Those looking for traditional comic book action may feel it moves a bit slow, but it's pace allows for the transformation to not feel superficial. When you walk out of the theater you won't know exactly how to feel, but you'll surely want to know how everyone else feels about it.",trailer movi may seem like potenti action pack movi movi clearli came theater intend progress charact studi shouldn go movi expect intens action joke know past movi arthur fleck becom joke seen mani bad review bore slow movi believ utter perfect first part movi begin understand arthur person interact everyon life good bad whole point charact studi evolut far away one greatest evolut charact ever seen movi joaquin phoenix perform far best act seen movi possibl last decad see challeng person challeng societi complet break time joaquin isn act revolv throughout movi anyon think doesn put oscar win perform there eat mind ye movi slow start couldn jump joke chao need know came begin whole compil movi amaz complet oscar deserv perform joaquin choreographi cinematographi score everyth perfect harmoni may lot controversi surround movi team put togeth perfect movi piti can appreci tear sweat emot went make movi alway one side movi refer marvel do feel like marvel soon much better overal move do put trash joke far away favorit comic movi even though take complet differ spin comic move appreci evolut appreci movi action movi realli lip tear emot one movi ad wild suspens kick comic book movi done,,positive
review 54,"What an incredible ride this was. I was almost motionless throughout, watching in awe the performance of a lifetime - the transition from troubled man to monster, the hounding score which directly drove the goosebumps, the cinematography which made you feel like you were flying through Gotham looking for Arthur yourself and the masterful De Niro who gave his nod to Jerry Lewis. Ignore DC. Ignore Batman. This is a work of art in its own right.",incred ride almost motionless throughout watch awe perform lifetim transit troubl man monster found score directli drove goosebump cinematographi made feel like fli gothic look arthur wast de no gave nod merri lewi ignor do ignor batman work art right,,positive
review 55,"This movie answers this question...what will the Joker be if he was a real life character ? A great deep and moving story, a life journey of a man who's suffering from some psychological issues and how neglect, bullying and rudeness by other human being can push a man to complete madness.

Although it's not accurate to any comic book adaptation or any TV series or movie before it, yet it's a fresh and unique take on the character of the clown prince of crime from a realistic approach and I believe with Joaquin Phoenix amazing performance as the Joker in which he managed to bring a real life look-alike early version of the Joker which although is not comic book accurate but I feel it's a very decent foundation for Joker 2 which should be more true to heart of the original version of our lovable villain.

The movie is over all a great piece of filmmaking in all of its aspects. From the plot which was very interesting, believable and many can relate to it, through the acting which was impressively splendid to the directing which was outstanding. My main take on the movie is the lack of any positive lead character, I know we live in a tough world which full of negativity but there are some positive examples here and there and to shed some light on one or two characters in this movie would've been a nice positive thought.

The Joker movie can be misunderstood by many thinking it'll inspire crime and violence but I believe on the contrary that many who go through hard life will feel sympathy for the Joker character, others will even relate to his misery and may justify his actions. I believe the movie is meant to be a wake up call for many! A lot of people daily suffer from bullying, racism, hate crimes or neglect and sometimes they go through worse, we should take a deeper look at our actions and know that - aside from money and authority - we are all equally humans, we should treat one another the same way we expect to be treated.",movi answer questionwhat joke real life charact great deep move stori life journey man who suffer psycholog issu neglect build rude human push man complet mad although accur comic book adapt to seri movi yet fresh uniqu take charact clown princ crime realist approach believ joaquin phoenix amaz perform joke manag bring real life lookalik earli version joke although comic book accur feel decent foundat joke 2 true heart origin version movabl villain movi great piec filmmak aspect plot interest believ mani relat act impress splendid direct outstand main take movi lack posit lead charact know live tough world full nativ posit exampl shed light one two charact movi would nice posit thought joke movi misunderstood mani think till inspir crime violenc believ contrari mani go hard life feel sympathi joke charact other even relat miseri may justifi action believ movi meant wake call mani lot peopl daili suffer build racism hate crime neglect sometim go wors take deeper look action know asid money author equal human treat one anoth way expect treat,,positive
review 56,It's just that boring. really can't understand what the hype is all about??!,bore realli can understand hope,,positive
review 57,"Joaquin Phoenix produces one of the most memorable performances ever captured in a feature film, earning the hardware and accolades he received for his stunning and disturbing portayal of Joker.

Joaquin puts on a virtuoso spotlight performance, and elevates the movie to legendary status. Credit director Todd Philips for building tension throughout the film, capturing the nuances of Joker's tortured dark-side slide into deranged, violent insanity, keeping the film's pace and flow on-track without unnecessary fill, utilizing and applying various camera lenses, shot angles, lighting, colors/hues, aperture settings (e.g. bokeh), and scene framing, and allowing Joaquin to tap into his own dark corners and utilize his unique acting instincts in developing his character.

Phoenix's acting performance leaves nothing on the table - if keeping score, Phoenix tallies a perfect 10 producing a truly legendary performance, transforming the film from God knows what it would have been with another actor to a 9/10.

A performance and film that one will not easily forget.",joaquin phoenix produc one memor perform ever captur featur film earn hardwar accolad receiv stun disturb portug joke joaquin put virtuou spotlight perform elev movi legendari statu credit director told philip build tension throughout film captur glanc joke tortur darksid slide derang violent insan keep film pace flow track without unnecessari fill util appli variou camera lens shot angl light colorshu apertur set eg bone scene frame allow joaquin tap dark corner util uniqu act instinct develop charact phoenix act perform leav noth tabl keep score phoenix alli perfect 10 produc truli legendari perform transform film god know would anoth actor 910 perform film one easili forget,,positive
review 58,"I'm keeping it short, the movie sucks.

Yes, I know there's a need to build character and crap, and I think it's important for any good movie.

Same goes with this, I get it Joker was a troubled man, I get his frustration, but I don't need 2 hours of the movie telling me the same crap over and over again.

Give the guy an Oscar for performance but throw this movie into the trash right after.",in keep short movi suck ye know there need build charact cap think import good movi goe get joke troubl man get frustrat dont need 2 hour movi tell cap give guy oscar perform throw movi trash right,,negative
review 59,"Joker is literally an achievement in cinematic history there's no doubt in that ! But why people comparing it with Endgame ? Both movies have their own ways and they are completely different. Endgame was the best at its genre. Talking about Joker ... What can I say ... A beautiful presentation of storyline , direction , screenplay was all at its peak of greatness ... Heath ledger smiling down to earth :)",joke liter achiev cinemat histori there doubt peopl compar engag move way complet differ engag best gene talk joke say beauti present storylin direct screenplay peak great heath ledger smile earth,,positive
review 60,"I have never left a review for any title, good or bad but this is such a piece of garbage that I registered an IMDB account just to vent my opinion. I want these 2 hours of my life back",never left review titl good bad piec garag regist limb account vent opinion want 2 hour life back,,nuetral
review 61,"The reviews here are making this film out to be far better than it actually is. Don't get me wrong, technically, it is extremely well done and Phoenix's performance is really quite extraordinary (he is definitely looking at an Oscar nomination), but despite excellent writing, acting and direction....

....the film is kinda boring.

It had its moments, and, sure, it has some very disturbing elements but....If I had a watch, I would have looked at it many times as what this film lacks is...excitement.

The final act is most excellent, but it felt like it took forever to get to it.",review make film far better actual dont get wrong technic extrem well done phoenix perform realli quit extraordinari definit look oscar nomin despit excel write act direct film kind bore moment sure disturb element but watch would look mani time film lack excit final act excel felt like took forev get,,positive
review 62,"I really don't understand how so many people consider it a masterpiece. I simply hated this movie since the very first minute. Maybe i have no sensibility at all to feel any empathy with this joker. The character is annoying, the screenplay is annoying, the music is more noise than music. One of the worst movies i have seen in the last years. And i don't save neither phoenix. I never liked him, but the way he laughs is absolutely awful. And laugh for the joker is so important... take a watch to Gotham and you will see the best joker, even better than jack nicholson and heath ledger, miles away from this rubbish",realli dont understand mani peopl consid masterpiec simpli hate movi sinc first minut mayb sensibl feel empti joke charact annoy screenplay annoy music nois music one worst move seen last year dont save neither phoenix never like way laugh absolut aw laugh joke import take watch gothic see best joke even better jack nicholson heath ledger mile away rubbish,,positive
review 63,"This movie is a masterpiece! It absolutely epitomizes what a DC movie should be. Dark, emotional, thought provoking, not just action action action. One of the best movies I've seen in a long time.

Critics have definitely lost touch with the public and should be ignored on this one. Do yourself a favor and watch it!

And remember to be good to one another. You dont know what someone else is going through.",movi masterpiec absolut epitom do movi dark emot thought provok action action action one best move give seen long time critic definit lost touch public ignor one favor watch rememb good one anoth dont know someon el go,,positive
review 64,"There is a reason why this masterpiece is being panned by the crony capitalist critics. It challenges their all too comfortable fake construction of reality and it does so in such an effective way, that it almost automatically elicits a dishonest, knee-jerk defensive reaction from them, frightened to the bone that their gaslighting charade might get uncovered. It is not Joker that is delusional, it is they that sell delusions in order to maintain the status quo.

But, eventually, and they know it, you get what you deserve. That sentence and that sentiment is what so scares them, because this movie cuts too close to the bone, and like all great, game-changing art, it is just a bit too true.

When Joker, who is a true hero here, helps a character, equally mistreated by the powers that be, go free, he points that he was the only one that treated him well. This is a call for kindness that is essence of the movie, but it is barely noticed by those who, like the villain of the movie, Thomas Wayne, think we are all despicable clowns. So they lie and pool wool over our eyes, as they only can, misconstrue and make false scares, so that the point of the movie that is most damaging for them would not get across.

All these are marks of a great movie. In Europe, it was instantly recognized - and rewarded, for the subversive potential it has. In North America, it scared the hell out of conformists, and the reaction was, for many, an almost reflexive rejection. Which means it hit, it hit hard, quite uncomfortably so. And if anything the hypo crites hate so much, it is the movie that exposes them, and, even more so, exposes the paper tiger of the blood sucking system they depend on for what it is.",reason masterpiec plan croni capitalist critic challeng comfort face construct realiti effect way almost automat elicit dishonest kneejerk defens reaction frighten bone alight charg might get uncov joke delus sell delus order maintain statu que eventu know get deserv sentenc sentiment scar movi cut close bone like great gamechang art bit true joke true hero help charact equal mistreat power go free point one treat well call kind essenc movi bare notic like villain movi thoma wayn think despic clown lie pool wool eye misconstru make fals scar point movi damag would get across mark great movi europ instantli recogn reward subvers potenti north america scare hell conformist reaction mani almost reflex reject mean hit hit hard quit uncomfort anyth hope cri hate much movi expo even expo paper tiger blood suck system depend,,positive
review 65,"I don't understand the high ratings. I went to the cinema with high expectations, only to discover that the movie was slow as anything and was almost finished before the first killing happened. It was a dreadful time having to wait for something to happen. But yes, once the movie was finished and I finally walked out, I got the cosmic joke; I was the joker, trusting the reviews and leaving disappointed in disbelief I actually paid for watching it.",,,negative
review 66,Creative actor Joaquin creativity embodied the role of the Joker film deserves more than 10,creativ actor joaquin creativ embodi role joke film deserv 10,,positive
review 67,"Writer-director Todd Phillips's new movie ""Joker"" appeals to me on multiple levels, primarily by offering an engaging story, strongly rooted in believable reality, related to audiences mainly by opposing protagonist's prevalent dark depressive moods while using often optimistic soundtrack and sound editing, shallow nonetheless rich visuals, angles and framing, theatricality augmented through expressive costumes, props and sets, but most impressively via great principal performances and acting choices made by Joaquin Phoenix in the lead as a title character (under proper fictional name Arthur Fleck), whose sudden uncontrollable and seemingly inappropriate laughter (justified as a medical condition) easily counterpoints the (painful need for) outcry from Gotham (read: any) City masses, hurt and deprived by injustices of their quotidian existence, as well as by Robert De Niro in a quintessential supporting role of a TV-comedy show host Murray Franklin (both worthy of the end-of-the-year acting award considerations), and by setting believable pre-course for the future adventures of the most realistic DC Comics character, the Batman (not a superhero at all, with his extraordinary capabilities rather resulting from his physical fitness and skills combined with high technology employed), who appears here only as a young boy, and whose later adult activities could be understood as largely driven by what has happened to his parents in the final scene of this movie, an event directly inspired by actions of Joker, henceforth his future main nemeses.",writerdirector told phillip new movi joke appeal multipl level primarili offer engag stori strongli root believ realiti relat audienc mainli oppos protagonist preval dark depress mood use often optimist soundtrack sound edit shallow nonetheless rich visual angl frame theatric augment express costum drop set impress via great princip perform act choic made joaquin phoenix lead titl charact proper section name arthur fleck whose sudden uncontrol seemingli inappropri laughter justifi medic condit easili counterpoint pain need outcri gothic read citi mass hurt depriv injustic quotidian exist well robert de no quintessenti support role comedi show host murray franklin worthi endoftheyear act award consider set believ recours futur adventur realist do comic charact batman superhero extraordinari capabl rather result physic fit skill combin high technolog employ appear young boy whose later adult activ could understood larg driven happen parent final scene movi event directli inspir action joke henceforth futur main nemes,,positive
review 68,"I'm making sure to give this movie 1 star because it's definitely not a 8.9 - that's a lie.

Joker is not an amazing movie. It's far from great. More to the boring side.

It lacks plot twist and focus too much on character development. How many times someone needs to get punched in the face before they go crazy?

He suffers, gets fired, has a mental illness, nobody loves him, he's sad and he cries and he laughs and he laughs again. And he kills some people, and that's it, that's the movie.",in make sure give movi 1 star definit 89 that lie joke amaz movi far great bore side lack plot twist focu much charact develop mani time someon need get punch face go crazi suffer get fire mental ill nobodi love he sad cri laugh laugh kill peopl that that movi,,positive
review 69,"DC can STILL give us a compelling movie. Wasn't quite hyped about it, I mean, an origin story of a villain made by the director of Hangover movies; what could I even expect? Then, the reviews started to drop. Still wasn't sure if I would like it. And after I saw it, it was way better than I thought it would be. I won't call it a masterpiece, but it definitely is on my top 3 DC films of all times!

Good : There's hardly anything bad about Joker. Joaquin Phoenix does a great job of bringing the character into life. Rather than a typical superhero/supervillain origin story, we get to see a psychological drama + horror, and thank God, we got that. I love the genre, I love films like Infinity War, Days of Future Past, Endgame and Raimi's Spider-Man. But occasionally, it's really good to take a break from such films. It's, kind of, in the category of films like Unbreakable. Basically, the movie is (no spoilers ahead) Arthur, being tormented by the society and being a mentally unstable loner, loses his mind after the constant torment and after that, all hell breaks loose. That's all the movie shows. It would be quite difficult to give a really good story for a plot like this, since there are many movies with this kind of plot (awfully crappy ones included). I completely liked this movie, means the screenplay and direction worked for me. You can feel for Arthur, whenever the movie asks you to. You want to root for Arthur, but you know that it will mean some incredibly terrible things will happen. We see him slowly transition into Joker, and when he completely turns into the Joker it is worth a round of applause. We feel good as well as terrified with the actions of the Joker whenever he snaps and crazy stuff happens. Without getting into spoilers, I would say - in short - that it has many quotable lines and each of them make sense. Whatever Joker (a psychopath) says is more realistic than what a sane person says. And obviously has some sick, terrifying and gruesome Joker moments that a proper Joker movie should have. If it's not clear by the trailers, there's no Batman here. But (again, no spoilers) it does have some Batman references to support the movie. It could've created a mess and might have felt like a shoehorned plotline, but it plays out as a proper support for the main story and the transition of Arthur into Joker.

Mixed : It is a good thing that the movie has a 70s psycho horror vibe to it. But, it could've been more original. Like many others have pointed out, it's similar to Taxi Driver by Scorsese. While it wasn't a copy and paste of Taxi Driver, but some parts make it obvious that the movie was inspired by Taxi Driver. Not necessarily a bad thing, the movie has the elements as a homage-ish way, but looking at how well made it was, it could've been slightly more original. And, it may feel a bit slow for some people, though it's worth your time.

My take on the controversy : It can happen that some morons might watch this film and cause violence. It can happen with any violent movie. But, even though it justified the Joker's actions, it doesn't show them to be right. Speaking of violence, it's just psychologically compelling horror. It's less violent than Deadpool, but feels more violent as it's a serious movie. So, glorification and siding with a psychopath is a complete and total nonsense.

Conclusion : It's a must watch. You don't need to follow any of the DC movies to understand it. But do not expect it to be a typical superhero action film with CGI battles and a spectacle. Wrong expectations might ruin the experience. Else, I found it to be better than The Dark Knight Rises. And TDKR is one of my favorites in the genre. If a Nolan movie is replaced by another movie in my list, you may consider it to be great. One last thing, people causing violence because of Joker would be equivalent to The Good, The Bad and The Ugly inspiring three people to have a gun duel for some gold.

Rating:

Score : 10/10

Grade : A+",do still give u compel movi want quit hope mean origin stori villain made director hanov move could even expect review start drop still want sure would like saw way better thought would wont call masterpiec definit top 3 do film time good there hardli anyth bad joke joaquin phoenix great job bring charact life rather typic superherosupervillain origin stori get see psycholog drama horror thank god got love gene love film like infin war day futur past engag aim spiderman occasion realli good take break film kind categori film like unbreak basic movi soiler ahead arthur torment societi mental unstabl longer lose mind constant torment hell break loo that movi show would quit difficult give realli good stori plot like sinc mani move kind plot aw happi one includ complet like movi mean screenplay direct work feel arthur whenev movi ask want root arthur know mean incred terribl thing happen see slowli transit joke complet turn joke worth round applaus feel good well terrifi action joke whenev snap crazi stuff happen without get soiler would say short mani suitabl line make sen whatev joke psychopath say realist sane person say obvious sick terrifi gruesom joke moment proper joke movi clear trailer there batman soiler batman refer support movi could creat mess might felt like shoehorn plotlin play proper support main stori transit arthur joke mix good thing movi wa psychic horror vice could origin like mani other point similar taxi driver score want copi past taxi driver part make obviou movi inspir taxi driver necessarili bad thing movi element homageish way look well made could slightli origin may feel bit slow peopl though worth time take controversi happen mormon might watch film caus violenc happen violent movi even though justifi joke action doesn show right speak violenc psycholog compel horror le violent deadpool feel violent seriou movi clarif ride psychopath complet total nonsens conclus must watch dont need follow do move understand expect typic superhero action film chi battl spectacl wrong expect might ruin experi el found better dark knight rise take one favorit gene woman movi replac anoth movi list may consid great one last thing peopl caus violenc joke would equival good bad ugli inspir three peopl gun duel gold rate score 1010 grade,,positive
review 70,"Absolute disappointment. I believed the hype like a fool. No person that actually saw it told me it was a good movie, just the stupid reviews. It's so cringe, with nothing actually happening except Phoenix smoking and dancing around. There is no action, no substance, no humor. Everything is so cringe and overacted. I suppose if you like those independent movies at TIFF or Cannes this is something for you. If you actually wanna be entertained and see The Joker from the DC, this is not it. Best description is millennial joker. Society is mean to him, nobody gives him anything so he cries and complains about it to get attention. When none is given, he starts killing.",absolut disappoint believ hope like fool person actual saw told good movi stupid review cring noth actual happen except phoenix smoke danc around action substanc humor everyth cring oper suppos like independ move stiff lann someth actual anna entertain see joke do best descript millennium joke societi mean nobodi give anyth cri complain get attent none given start kill,,positive
review 71,"There is doing an homage and then there is borrowing wholesale from other material. This film is little more than a remake of ""Taxi Driver"" with elements (most notably the end) borrowed from ""Network"". In the case of ""Taxi Driver"" there are whole lines of dialogue, characters and scenes that are lifted from it and placed in this movie. Except the execution isn't as polished, the acting not of the same caliber and the story not as original.",dont understand high rate went cinema high expect discov movi slow anyth almost finish first kill happen dread time wait someth happen ye movi finish final walk got comic joke joke trust review leav disappoint disbeliev actual paid watch,,negative
review 72,agre joaquin perform great well done easi part pull howev good part film movi dark expect much slow diplo put sleep part movi predict though coupl liter two surpris good didn weigh slow move poorli laid stori say skin one wait hit subscript servic id ask money back stay till end,agre joaquin perform great well done easi part pull howev good part film movi dark expect much slow diplo put sleep part movi predict though coupl liter two surpris good didn weigh slow move poorli laid stori say skin one wait hit subscript servic id ask money back stay till end,,positive
review 73,"Watch ""Taxi Driver"" and ""Network"", this film was made 40 years earlier and was made better.",joke basic like edit postmodern version fight club score film lift interest see easili word like masterpiec groundbreak use one joke movi success pull whole lot selfseri pour essenti hollow pretend say lot end say littl noth charact societi he part also joke name littl supervillain in differ interpret even origin stori joke movi fail recognis captur spirit even protojok doesn quit justic think dozen suitabl titl eg arthur talent mr fleck smoker power etc intact he akin le danger also mental unstabl villain like ratcatch calendar man though clown theme even close embodi joke extrem form nihil comicbook accur portray would irrelev genuin good movi far masterpiec doesn quit manag even fail inaccur portray joke spirit essenc also film person go edg nearest aspect movi poor averag direct movi lack subtl franc hope unfold much charact develop thing happen arthur good exampl poor write direct trumplik onedimension thoma wayn charact first becam obviou scene peopl happen know entir lyric clown song movi otherwis tri hard realist felt unnecessari took experi felt contriv predict take mani obviou liberti plot conveni move stori forward unnatur undefin way ultim felt like tri disguis poor write direct dark gritti atmospher instead element complement reason watch movi phoenix perform groundbreak good enough earn award nomin two wouldn put leagu heath ledger portray two differ role charact ledger made joke seem effortless one realli see strain work phoenix put put simpli ledger made seem natur didn look like act phoenix realli know even extent may seem like oper time perhap owe physic natur version whoever charact suppos that necessarili critic overal averag film best pretend lot dont see one be well rememb decad later way fight club score move inspir cm like dark knight loan even tim button batman rememb today,,positive
review 74,The ending is what matters in a movie. And this movie has a kind of ending which would leave many speechless. It's indeed a masterpiece:),end matter movi movi kind end would leav mani speechless inde masterpiec,,positive
review 75,"Joaquin Phoenix just playing Joaquin Phoenix. Boring, Twisted, Sick piece of crap. A one and done movie.",joaquin phoenix play joaquin phoenix bore twist sick piec cap one done movi,,positive
review 76,"W.O.W!!! What can I say about how brilliant Phoenix act performance is ?? In shortcut,movie of the year 💯/💯👏",now say brilliant phoenix act perform shortcutmovi year,,positive
review 77,"The movie was excellent and amazing, from the beginning that Joaquin's personality is seen as he evolves in the Joker until the end, Joker is the most difficult character to do and I think Joaquin did it!!",movi excel amaz begin joaquin person seen evolv joke end joke difficult charact think joaquin,,positive
review 78,"Please go watch this movie! This is the first time I've ever wrote a review on this app and I've been using it to read reviews for years! That's how good this film is. Very dark, grimy and disturbing, exactly how an origin film about the joker should be. I have no doubt it will win multiple oscars. Do yourself a favor and go see it!!!",plea go watch movi first time give ever wrote review pp give use read review year that good film dark grim disturb exactli origin film joke doubt win multipl scar favor go see,,positive
review 79,"I was so looking forward to this film given all the hype about brilliant acting etc but yet again what a let down!

The film had no real storyline in the past or the present and although the acting was brilliant I had real trouble understanding the plot, if at all there was one.

ONE STAR IS FOR THE ACTORS",look forward film given hope brilliant act etc yet let film real storylin past present although act brilliant real troubl understand plot one one star actor,,positive
review 80,"Joaquin Phoenix is good. The directing is pretty good. The writing is absolutely awful. This movie is trying so hard to be relevant and to have a 'message' that it just throws a jumbled mess of quasi-commentary at you hoping something will stick. It is completely unclear what exactly writer/director Todd Phillips is actually trying to say, if anything. Is Joker a hero of the resistance or is he an incel? Does he go crazy because he's mentally ill or because people are mean to him? Both rich people and poor people are horrible to Joker so what exactly is the class commentary? It's also confusing how Robert De Niro when this movie is clearly ripping off Taxi Driver in many ways, also with a little Mr. Robot thrown in. There's also a subplot with a neighbor that is so incredibly stupid and pointless, which actually has no bearing on the story whatsoever. The movie is also just listless and boring throughout much of it. A movie can be slow-paced without it being boring if interesting things are happening that are driving the plot towards it's conclusion. The only thing driving the story in this movie is knowing that he's going to become joker at some points, not anything that actually happens in the movie. The movie also spends like 5 minutes making fun of a little person for no clear reason. Also for people saying that this movie does a good job saying why you should be nicer to people especially if they're lonely or have mental health issues: firstly you shouldn't need a movie like this to be nice to people, secondly you can make a movie like that where the lonely/mentally ill person doesn't become a murderer since mentally ill people are more likely to be victims than perpetrators of crime, and thirdly if you want a movie showing why you need to empathize with criminals why not movies about all the people of color who have been victims of mass incarceration and were locked up on nonviolent charges instead of a movie about a white male becoming a mass murderer. This movie is terrible.",joaquin phoenix good direct pretti good write absolut aw movi tri hard relev messag throw tumbl mess quasicommentari hope someth stick complet unclear exactli writerdirector told phillip actual tri say anyth joke hero resist icel go crazi he mental ill peopl mean rich peopl poor peopl horribl joke exactli class commentari also confus robert de no movi clearli lip taxi driver mani way also littl mr root thrown there also subplot neighbor incred stupid painless actual bear stori whatsoev movi also listless bore throughout much movi slowpac without bore interest thing happen drive plot toward conclus thing drive stori movi know he go becom joke point anyth actual happen movi movi also spend like 5 minut make fun littl person clear reason also peopl say movi good job say nicer peopl especi there lone mental health issu firstli shouldn need movi like nice peopl secondli make movi like lonelyment ill person doesn becom murder sinc mental ill peopl like victim perpetr crime thirdli want movi show need sympath crimin move peopl color victim mass incarcer lock nonviol charg instead movi white male becom mass murder movi terribl,,positive
review 81,"Story was just really unconvincing. Nobody really cares that much about some random dude who is as ineloquent and uninspired as the joker is. The hype portraying the movie as painful and cruel is just cringe. To see this rated better than ""One flew over cuckoos nest"" that shows way better cruelty saddens me.",stori realli convinc nobodi realli care much random due eloqu inspir joke hope portray movi pain cruel cring see rate better one flew cuckoo nest show way better cruelti sadden,,negative
review 82,"The performance of Joaquin is excellent but the story simply don't have anything to do with the Joker, it's more about a mentaly ill man struggling with his chaotic enviroment until it's overwhelmed and snaps. I would be a much better film if the title was ""Arthur"" or ""The Clown"" but the fact that it's forced to be related to the batman universe it's why i feld it didn't work.",perform joaquin excel stori simpli dont anyth joke mental ill man struggl chronic environ overwhelm snap would much better film titl arthur clown fact forc relat batman univers felt didn work,,positive
